feature,importance_gain_mean,importance_gain_std,selected_in_n_folds
cos_elem_456,1.021589994430542,2.043179988861084,1
euc_elem_329,1.0215408146381377,2.0430816292762755,1
euc_elem_2097,1.0200515925884246,2.040103185176849,1
cos_elem_2922,1.015898808836937,2.031797617673874,1
cos_elem_2134,1.0106425881385803,1.385832772841222,2
cos_elem_3212,1.0102051734924316,2.020410346984863,1
euc_elem_299,1.0070420265197755,2.014084053039551,1
euc_elem_3135,1.0065935969352722,2.0131871938705443,1
cos_elem_2297,1.0038733959197998,2.0077467918395997,1
cos_elem_367,1.0032060146331787,2.0064120292663574,1
cos_elem_2626,1.00274738073349,2.00549476146698,1
cos_elem_890,1.00032919049263,2.00065838098526,1
cos_elem_1628,0.9995123982429505,1.999024796485901,1
cos_elem_1322,0.9983243942260742,1.9966487884521484,1
euc_elem_1649,0.9968966215848922,1.9937932431697842,1
euc_elem_2929,0.9968666106462478,1.9937332212924959,1
euc_elem_443,0.9967842161655426,1.9935684323310854,1
euc_elem_2868,0.9943721950054168,1.9887443900108337,1
cos_elem_1913,0.9943654000759125,1.9887308001518251,1
euc_elem_628,0.9926640033721924,1.9853280067443848,1
cos_elem_766,0.9909322202205658,1.9818644404411314,1
euc_elem_2754,0.9888978004455566,1.9777956008911133,1
euc_elem_1583,0.988802570104599,1.977605140209198,1
cos_elem_518,0.9884264871478081,1.9768529742956162,1
cos_elem_1689,0.9872360229492188,1.9744720458984375,1
cos_elem_1176,0.9854459762573242,1.9708919525146484,1
cos_elem_1501,0.9845119833946228,1.9690239667892455,1
cos_elem_2065,0.9828028082847595,1.965605616569519,1
cos_elem_1660,0.9814759969711304,1.9629519939422608,1
cos_elem_592,0.981342825293541,1.962685650587082,1
cos_elem_3219,0.9798761963844299,1.9597523927688598,1
cos_elem_1286,0.9794738113880157,1.9589476227760314,1
cos_elem_1160,0.9779107928276062,1.9558215856552121,1
cos_elem_2431,0.9775200128555298,1.9550400257110596,1
euc_elem_2266,0.9775023937225342,1.9550047874450682,1
cos_elem_2976,0.9771208047866822,1.9542416095733641,1
cos_elem_558,0.9769132018089295,1.953826403617859,1
cos_elem_2236,0.9752109766006469,1.9504219532012939,1
euc_elem_1609,0.9736201941967011,1.9472403883934024,1
cos_elem_949,0.9708960056304932,1.9417920112609863,1
euc_elem_1536,0.9706112027168274,1.9412224054336549,1
cos_elem_2718,0.9700771927833557,1.9401543855667114,1
cos_elem_157,0.9683333992958069,1.6355205845874663,2
cos_elem_2242,0.9679311960935593,1.9358623921871188,1
euc_elem_1021,0.9657473921775818,1.9314947843551638,1
euc_elem_701,0.9648478031158447,1.1847727367424103,2
cos_elem_2751,0.9645000249147415,1.9290000498294833,1
euc_elem_2619,0.9641939878463746,1.9283879756927491,1
euc_elem_149,0.9598613858222962,1.9197227716445922,1
euc_elem_1422,0.95975521504879,1.7725056341152303,2
cos_elem_924,0.9534051895141602,1.9068103790283204,1
cos_elem_105,0.9533386111259461,1.9066772222518924,1
cos_elem_3144,0.9517512023448944,1.9035024046897886,1
euc_elem_1505,0.951322591304779,1.902645182609558,1
cos_elem_2108,0.9508424043655396,1.9016848087310791,1
cos_elem_2859,0.9495220184326172,1.8990440368652344,1
euc_elem_2630,0.9474659919738769,1.894931983947754,1
euc_elem_1303,0.9471819877624512,1.8943639755249024,1
cos_elem_2192,0.9453459978103638,1.2363452517081606,2
cos_elem_490,0.9452019929885864,1.8904039859771729,1
euc_elem_1110,0.9406410098075867,1.8812820196151736,1
cos_elem_3183,0.9388899952173233,1.8777799904346466,1
euc_elem_113,0.9377654612064361,1.8755309224128722,1
euc_elem_278,0.932192587852478,1.8643851757049559,1
euc_elem_3062,0.9321079969406127,1.8642159938812255,1
cos_elem_941,0.9310802102088929,1.8621604204177857,1
cos_elem_1396,0.9194122031331062,1.8388244062662125,1
cos_elem_954,0.9175307810306549,1.1589180746644454,2
cos_elem_2318,0.91719820946455,1.8343964189291,1
cos_elem_2123,0.9160596013069153,1.8321192026138307,1
euc_elem_2822,0.915526008605957,1.831052017211914,1
euc_elem_3188,0.9137041985988616,1.8274083971977235,1
cos_elem_1577,0.912133800983429,1.824267601966858,1
euc_elem_1276,0.911594009399414,1.823188018798828,1
euc_elem_396,0.9093841880559921,1.818768376111984,1
cos_elem_1731,0.9091302067041397,1.8182604134082796,1
euc_elem_545,0.9048943847417832,1.8097887694835662,1
cos_elem_1144,0.9022434115409851,1.8044868230819704,1
euc_elem_2346,0.9015543937683106,1.8031087875366212,1
