feature,importance_split,importance_gain,importance_gain_norm,selected_in_n_folds
euc_elem_410,9.5,11.661677673459053,0.00016101921765455254,2
euc_elem_1685,6.0,11.656550288200378,0.00016094842101738906,1
euc_elem_1192,6.75,11.653260946273804,0.00016090300325860286,4
euc_elem_993,5.666666666666667,11.652987917264303,0.00016089923339643227,3
cos_elem_2864,7.5,11.652277410030365,0.00016088942303105005,2
cos_elem_149,8.666666666666666,11.65002809961637,0.00016085836556116746,3
cos_elem_2225,6.75,11.64019164443016,0.0001607225481974118,4
cos_elem_1224,6.0,11.636514902114868,0.00016067178138772084,1
euc_elem_2213,6.5,11.636054538190365,0.0001606654248890218,2
euc_elem_2578,8.5,11.63345354795456,0.00016062951158180963,2
euc_elem_1983,6.0,11.632182031869888,0.00016061195505770375,1
euc_elem_1939,8.0,11.627474024891853,0.00016054694900784176,1
cos_elem_1256,7.5,11.610926993191242,0.0001603184750117716,2
euc_elem_3149,7.0,11.60166609287262,0.00016019060465161962,1
cos_elem_2784,5.5,11.60125556588173,0.00016018493627895916,4
euc_elem_1879,5.0,11.600001096725464,0.00016016761513119898,1
euc_elem_143,10.0,11.594700824469328,0.0001600944313478758,2
cos_elem_945,5.0,11.59106981754303,0.00016004429603193397,1
cos_elem_175,9.333333333333334,11.590374608834585,0.00016003469690173376,3
euc_elem_156,10.0,11.584472984075546,0.00015995320991262293,1
euc_elem_2685,4.0,11.58102011680603,0.00015990553426920603,1
cos_elem_2693,7.0,11.580640908330679,0.00015990029832856878,4
cos_elem_717,9.0,11.57087391614914,0.00015976544007884294,1
cos_elem_2761,5.0,11.56321033835411,0.00015965962483205397,2
euc_elem_1139,8.333333333333334,11.562858035167059,0.00015965476038757654,3
euc_elem_469,7.0,11.554739832878113,0.00015954266788957325,1
euc_elem_1795,8.0,11.553779348731041,0.0001595294059550333,2
euc_elem_800,8.0,11.54953134804964,0.00015947075146590506,3
cos_elem_1839,8.5,11.54761902987957,0.00015944434703386075,2
euc_elem_1307,11.0,11.546350836753845,0.00015942683639168242,1
cos_elem_2466,6.5,11.54273496568203,0.00015937691006483423,2
euc_elem_1743,6.666666666666667,11.533176283041636,0.00015924492805987215,3
euc_elem_390,8.333333333333334,11.529141316811243,0.000159189215054945,3
euc_elem_63,6.5,11.509470462799072,0.00015891760872073415,2
cos_elem_794,6.5,11.506528377532959,0.0001588769857262485,2
euc_elem_1033,7.5,11.501830354332924,0.00015881211752791764,2
cos_elem_906,1.0,11.500100135803223,0.0001587882274460765,1
cos_elem_683,4.5,11.49370762705803,0.0001586999625509368,2
euc_elem_471,7.666666666666667,11.488743230700493,0.00015863141639145607,3
cos_elem_2027,9.0,11.484755218029022,0.0001585763517002223,1
euc_elem_3042,4.0,11.482196867465973,0.00015854102714249715,1
cos_elem_1208,9.0,11.475885972380638,0.00015845388913218725,1
euc_elem_2002,8.0,11.470985054969788,0.00015838621946154624,1
cos_elem_658,8.5,11.455854207277298,0.00015817729949941766,4
cos_elem_2600,8.0,11.450401484966278,0.00015810201075407647,2
euc_elem_1373,10.0,11.443361848592758,0.0001580048106107372,2
euc_elem_1394,7.5,11.438454553484917,0.0001579370528797151,2
cos_elem_2593,8.333333333333334,11.419939617315928,0.00015768140694091164,3
euc_elem_1776,6.666666666666667,11.4097201526165,0.00015754030115349178,3
cos_elem_143,6.666666666666667,11.408505608638128,0.0001575235312746904,3
cos_elem_771,5.0,11.402179285883904,0.00015743618024604436,2
euc_elem_2471,5.5,11.397741556167603,0.00015737490606345332,2
euc_elem_2677,11.0,11.38829493522644,0.0001572444713561996,1
cos_elem_380,8.0,11.385785162448883,0.00015720981753876022,1
euc_elem_2613,9.0,11.371711105108261,0.00015701548926407553,1
euc_elem_3007,7.0,11.358215928077698,0.00015682915390921346,2
cos_elem_2220,8.75,11.352702595293522,0.00015675302828162922,4
cos_elem_2513,6.0,11.345891043543816,0.0001566589774285305,2
euc_elem_2211,7.0,11.345611900091171,0.00015665512314086993,1
cos_elem_459,6.0,11.344889268279076,0.00015664514536474765,3
euc_elem_1630,8.5,11.336245968937874,0.00015652580256203568,2
cos_elem_2947,8.0,11.328833351532618,0.00015642345246380895,3
cos_elem_1843,8.0,11.328713178634644,0.00015642179317030446,1
euc_elem_2072,13.0,11.309721015393734,0.0001561595578940218,2
cos_elem_2890,9.0,11.307642549276352,0.00015613085936560131,2
euc_elem_2146,9.0,11.280973047018051,0.00015576261883374016,1
cos_elem_726,7.0,11.276007264852524,0.00015569405353964394,1
cos_elem_1437,12.0,11.275168925523758,0.00015568247812600047,1
euc_elem_1124,6.5,11.264911442995071,0.00015554084740543672,2
cos_elem_650,4.5,11.26488733291626,0.00015554051450427647,2
cos_elem_1570,8.0,11.258588030934334,0.00015545353656634152,2
euc_elem_1078,9.0,11.236039251089096,0.00015514219312233533,4
cos_elem_1035,6.5,11.232704892754555,0.00015509615379716776,2
cos_elem_1033,7.0,11.22486960887909,0.000154987967709792,2
cos_elem_1088,6.0,11.220183454453945,0.00015492326339018432,2
cos_elem_1458,9.333333333333334,11.211386700471243,0.00015480180175457268,3
euc_elem_1479,8.0,11.209641963243484,0.00015477771120505715,1
euc_elem_2410,8.0,11.19817703962326,0.00015461940867916938,2
euc_elem_574,10.0,11.188926622271538,0.0001544916830631251,2
euc_elem_2625,6.0,11.177499517798424,0.00015433390272706716,2
euc_elem_1111,3.0,11.177320003509521,0.0001543314240742381,1
cos_elem_423,7.5,11.176265627145767,0.00015431686571805995,2
cos_elem_2323,8.0,11.17475918928782,0.0001542960654994187,3
cos_elem_1600,2.5,11.174204677343369,0.00015428840904706457,2
euc_elem_2056,8.0,11.173308849334717,0.0001542760398555001,1
cos_elem_158,10.0,11.1681819409132,0.00015420524980229035,1
euc_elem_1943,6.5,11.162658635526896,0.0001541289864774864,4
cos_elem_359,3.0,11.161708782116571,0.000154115871327394,3
euc_elem_2932,8.25,11.158956117928028,0.00015407786377423432,4
cos_elem_1384,12.0,11.158688962459564,0.0001540741750112854,1
euc_elem_10,5.333333333333333,11.149743743240833,0.00015395066343424819,3
cos_elem_3141,7.0,11.147985935211182,0.00015392639240895947,1
euc_elem_793,8.666666666666666,11.139360676209131,0.0001538072986991634,3
cos_elem_2651,11.0,11.125260025262833,0.00015361260323189284,1
euc_elem_2351,4.0,11.123970031738281,0.0001535947915795801,1
cos_elem_1016,6.25,11.119814831763506,0.00015353741844100852,4
euc_elem_2974,13.0,11.114126913249493,0.00015345888221192944,1
cos_elem_413,7.333333333333333,11.114094883203506,0.0001534584399554128,3
cos_elem_2123,8.0,11.113997042179108,0.00015345708901040776,1
cos_elem_1698,8.0,11.107204914093018,0.00015336330635054907,1
